EVENT_ID,TARGET_LEVEL,TARGET_ID,IMPACT_DIRECTION,DEMAND_MULTIPLIER,IMPACT_STRENGTH,APPLY_MODE
EV001,SUBCATEGORY,SUBCAT-0117,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV001,CATEGORY,CAT-059,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV001,SUBCATEGORY,SUBCAT-0031,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV001,CATEGORY,CAT-010,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV001,CATEGORY,CAT-031,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV001,SUBCATEGORY,SUBCAT-0133,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV001,CATEGORY,CAT-021,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV001,SUBCATEGORY,SUBCAT-0037,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV001,CATEGORY,CAT-009,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV001,CATEGORY,CAT-067,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV001,SUBCATEGORY,SUBCAT-0097,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV001,CATEGORY,CAT-015,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV002,CATEGORY,CAT-001,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV002,CATEGORY,CAT-002,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV002,CATEGORY,CAT-003,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV002,CATEGORY,CAT-025,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV002,SUBCATEGORY,SUBCAT-0161,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV002,SUBCATEGORY,SUBCAT-0133,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV002,CATEGORY,CAT-021,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV002,CATEGORY,CAT-037,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV002,SUBCATEGORY,SUBCAT-0097,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV002,CATEGORY,CAT-015,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV002,CATEGORY,CAT-028,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV003,CATEGORY,CAT-010,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV003,SUBCATEGORY,SUBCAT-0034,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV004,SUBCATEGORY,SUBCAT-0082,POSITIVE,2.3,HIGH,MULTIPLICATIVE
EV004,SUBCATEGORY,SUBCAT-0126,POSITIVE,2.3,HIGH,MULTIPLICATIVE
EV005,SUBCATEGORY,SUBCAT-0181,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV005,CATEGORY,CAT-046,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV005,CATEGORY,CAT-028,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV005,CATEGORY,CAT-001,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV005,CATEGORY,CAT-002,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV005,CATEGORY,CAT-003,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV005,SUBCATEGORY,SUBCAT-0126,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV006,SUBCATEGORY,SUBCAT-0124,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV006,CATEGORY,CAT-056,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV006,SUBCATEGORY,SUBCAT-0032,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV006,SUBCATEGORY,SUBCAT-0082,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV006,SUBCATEGORY,SUBCAT-0161,POSITIVE,2.2,HIGH,MULTIPLICATIVE
EV007,SUBCATEGORY,SUBCAT-0106,POSITIVE,3.2,HIGH,MULTIPLICATIVE
EV007,CATEGORY,CAT-026,POSITIVE,3.2,HIGH,MULTIPLICATIVE
EV007,SUBCATEGORY,SUBCAT-0121,POSITIVE,3.2,HIGH,MULTIPLICATIVE
EV007,SUBCATEGORY,SUBCAT-0126,POSITIVE,3.2,HIGH,MULTIPLICATIVE
EV007,CATEGORY,CAT-031,POSITIVE,3.2,HIGH,MULTIPLICATIVE
EV008,SUBCATEGORY,SUBCAT-0173,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV008,CATEGORY,CAT-023,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV008,SUBCATEGORY,SUBCAT-0009,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV008,SUBCATEGORY,SUBCAT-0126,POSITIVE,1.8,MEDIUM,MULTIPLICATIVE
EV009,SUBCATEGORY,SUBCAT-0032,POSITIVE,1.7,MEDIUM,MULTIPLICATIVE
EV009,CATEGORY,CAT-023,POSITIVE,1.7,MEDIUM,MULTIPLICATIVE
EV009,CATEGORY,CAT-012,POSITIVE,1.7,MEDIUM,MULTIPLICATIVE
EV009,CATEGORY,CAT-064,POSITIVE,1.7,MEDIUM,MULTIPLICATIVE
EV009,SUBCATEGORY,SUBCAT-0195,POSITIVE,1.7,MEDIUM,MULTIPLICATIVE
EV010,CATEGORY,CAT-001,POSITIVE,1.5,MEDIUM,MULTIPLICATIVE
EV010,CATEGORY,CAT-002,POSITIVE,1.5,MEDIUM,MULTIPLICATIVE
EV010,CATEGORY,CAT-003,POSITIVE,1.5,MEDIUM,MULTIPLICATIVE
EV010,CATEGORY,CAT-059,POSITIVE,1.5,MEDIUM,MULTIPLICATIVE
EV010,CATEGORY,CAT-010,POSITIVE,1.5,MEDIUM,MULTIPLICATIVE
EV010,CATEGORY,CAT-066,POSITIVE,1.5,MEDIUM,MULTIPLICATIVE
EV010,CATEGORY,CAT-064,POSITIVE,1.5,MEDIUM,MULTIPLICATIVE
