EVENT_ID_1,EVENT_ID_2,INTERACTION_TYPE,INTERACTION_CAP,DESCRIPTION
EV001,EV003,AMPLIFICATION,4.5,New Year Shopping & Gifting + Winter Peak / Cold Wave
EV001,EV004,AMPLIFICATION,5.0,New Year Shopping & Gifting + Lohri
EV001,EV005,AMPLIFICATION,5.0,New Year Shopping & Gifting + Bhogi
EV001,EV006,AMPLIFICATION,5.0,New Year Shopping & Gifting + Makar Sankranti
EV001,EV007,AMPLIFICATION,5.0,New Year Shopping & Gifting + Pongal
EV001,EV008,AMPLIFICATION,5.0,New Year Shopping & Gifting + Mattu Pongal
EV001,EV009,AMPLIFICATION,5.0,New Year Shopping & Gifting + Vasant Panchami / Basant Panchami
EV001,EV016,AMPLIFICATION,4.0,New Year Shopping & Gifting + Wedding Season — Winter Peak II
EV001,EV017,AMPLIFICATION,4.0,New Year Shopping & Gifting + Exam Preparation Cycle
EV001,EV153,AMPLIFICATION,5.0,New Year Shopping & Gifting + Makaravilakku / Sabarimala Pilgrimage Season
EV001,EV154,AMPLIFICATION,5.0,New Year Shopping & Gifting + Thaipusam
EV001,EV155,AMPLIFICATION,5.0,New Year Shopping & Gifting + Magh Bihu / Bhogali Bihu
EV001,EV171,AMPLIFICATION,4.5,New Year Shopping & Gifting + Winter Transition — Southern India
EV002,EV003,AMPLIFICATION,4.5,New Year Clearance Sales + Winter Peak / Cold Wave
EV002,EV004,AMPLIFICATION,5.0,New Year Clearance Sales + Lohri
EV002,EV005,AMPLIFICATION,5.0,New Year Clearance Sales + Bhogi
EV002,EV006,AMPLIFICATION,5.0,New Year Clearance Sales + Makar Sankranti
EV002,EV007,AMPLIFICATION,5.0,New Year Clearance Sales + Pongal
EV002,EV008,AMPLIFICATION,5.0,New Year Clearance Sales + Mattu Pongal
EV002,EV009,AMPLIFICATION,5.0,New Year Clearance Sales + Vasant Panchami / Basant Panchami
EV002,EV016,AMPLIFICATION,4.0,New Year Clearance Sales + Wedding Season — Winter Peak II
EV002,EV017,AMPLIFICATION,4.0,New Year Clearance Sales + Exam Preparation Cycle
EV002,EV018,AMPLIFICATION,4.5,New Year Clearance Sales + Spring Transition
EV002,EV019,AMPLIFICATION,5.0,New Year Clearance Sales + Holi Preparation
EV002,EV021,AMPLIFICATION,5.0,New Year Clearance Sales + Holi
EV002,EV030,AMPLIFICATION,4.0,New Year Clearance Sales + Tax-Saving Purchase Cycle
EV002,EV145,AMPLIFICATION,4.0,New Year Clearance Sales + Academic New Year Preparation
EV002,EV146,AMPLIFICATION,4.0,New Year Clearance Sales + School Admissions Cycle
EV002,EV153,AMPLIFICATION,5.0,New Year Clearance Sales + Makaravilakku / Sabarimala Pilgrimage Season
