EVENT_ID,GEOGRAPHIC_LEVEL,GEOGRAPHIC_TARGET,GEOGRAPHIC_WEIGHT
EV001,NATIONAL,PAN_INDIA,1.0
EV002,NATIONAL,PAN_INDIA,1.0
EV003,REGIONAL,North,1.0
EV003,REGIONAL,South,0.15
EV003,REGIONAL,East,0.15
EV003,REGIONAL,West,0.15
EV003,REGIONAL,Central,1.0
EV003,REGIONAL,Northeast,0.15
EV004,REGIONAL,North,1.0
EV004,REGIONAL,South,0.15
EV004,REGIONAL,East,0.15
EV004,REGIONAL,West,0.15
EV004,REGIONAL,Central,0.15
EV004,REGIONAL,Northeast,0.15
EV005,REGIONAL,North,0.15
EV005,REGIONAL,South,1.0
EV005,REGIONAL,East,0.15
EV005,REGIONAL,West,0.15
EV005,REGIONAL,Central,0.15
EV005,REGIONAL,Northeast,0.15
EV006,NATIONAL,PAN_INDIA,1.0
EV007,REGIONAL,North,0.15
EV007,REGIONAL,South,1.0
EV007,REGIONAL,East,0.15
EV007,REGIONAL,West,0.15
EV007,REGIONAL,Central,0.15
EV007,REGIONAL,Northeast,0.15
EV008,REGIONAL,North,0.15
EV008,REGIONAL,South,1.0
EV008,REGIONAL,East,0.15
EV008,REGIONAL,West,0.15
EV008,REGIONAL,Central,0.15
EV008,REGIONAL,Northeast,0.15
EV009,REGIONAL,North,1.0
EV009,REGIONAL,South,0.15
EV009,REGIONAL,East,1.0
EV009,REGIONAL,West,0.15
EV009,REGIONAL,Central,1.0
EV009,REGIONAL,Northeast,0.15
EV010,NATIONAL,PAN_INDIA,1.0
EV011,NATIONAL,PAN_INDIA,1.0
EV012,NATIONAL,PAN_INDIA,1.0
EV013,NATIONAL,PAN_INDIA,1.0
EV014,NATIONAL,PAN_INDIA,1.0
EV015,NATIONAL,PAN_INDIA,1.0
EV016,REGIONAL,North,1.0
EV016,REGIONAL,South,1.0
EV016,REGIONAL,East,0.15
EV016,REGIONAL,West,1.0
EV016,REGIONAL,Central,1.0
EV016,REGIONAL,Northeast,0.15
EV017,NATIONAL,PAN_INDIA,1.0
EV018,REGIONAL,North,0.15
EV018,REGIONAL,South,1.0
EV018,REGIONAL,East,0.15
EV018,REGIONAL,West,0.15
EV018,REGIONAL,Central,0.15
EV018,REGIONAL,Northeast,0.15
EV019,NATIONAL,PAN_INDIA,1.0
EV020,REGIONAL,North,1.0
EV020,REGIONAL,South,0.15
EV020,REGIONAL,East,0.15
EV020,REGIONAL,West,1.0
EV020,REGIONAL,Central,1.0
EV020,REGIONAL,Northeast,0.15
EV021,NATIONAL,PAN_INDIA,1.0
EV022,REGIONAL,North,1.0
EV022,REGIONAL,South,1.0
EV022,REGIONAL,East,0.15
EV022,REGIONAL,West,0.15
EV022,REGIONAL,Central,0.15
EV022,REGIONAL,Northeast,0.15
EV023,REGIONAL,North,1.0
EV023,REGIONAL,South,1.0
