Customer_ID,Loyalty_Tier,Region
CUST-00001,None,North
CUST-00002,None,East
CUST-00003,None,West
CUST-00004,None,East
CUST-00005,None,East
CUST-00006,None,North
CUST-00007,Silver,North
CUST-00008,None,East
CUST-00009,None,West
CUST-00010,None,South
CUST-00011,Gold,South
CUST-00012,None,West
CUST-00013,Gold,East
CUST-00014,None,South
CUST-00015,None,East
CUST-00016,Silver,North
CUST-00017,None,North
CUST-00018,None,North
CUST-00019,None,North
CUST-00020,None,North
CUST-00021,Gold,West
CUST-00022,None,North
CUST-00023,Silver,South
CUST-00024,None,South
CUST-00025,Silver,North
CUST-00026,Silver,South
CUST-00027,Gold,East
CUST-00028,Silver,West
CUST-00029,None,North
CUST-00030,None,North
CUST-00031,None,West
CUST-00032,None,West
CUST-00033,None,West
CUST-00034,None,West
CUST-00035,Silver,South
CUST-00036,None,East
CUST-00037,None,South
CUST-00038,None,South
CUST-00039,None,West
CUST-00040,None,East
CUST-00041,Gold,East
CUST-00042,None,West
CUST-00043,Silver,West
CUST-00044,None,South
CUST-00045,None,West
CUST-00046,None,North
CUST-00047,Silver,South
CUST-00048,Gold,North
CUST-00049,None,East
CUST-00050,None,West
CUST-00051,None,East
CUST-00052,None,North
CUST-00053,None,West
CUST-00054,None,South
CUST-00055,Silver,West
CUST-00056,None,East
CUST-00057,Gold,East
CUST-00058,Silver,West
CUST-00059,Silver,West
CUST-00060,Gold,South
CUST-00061,None,South
CUST-00062,None,South
CUST-00063,None,North
CUST-00064,None,West
CUST-00065,None,North
CUST-00066,None,North
CUST-00067,None,West
CUST-00068,None,South
CUST-00069,Gold,South
CUST-00070,None,East
CUST-00071,Silver,West
CUST-00072,None,North
CUST-00073,None,East
CUST-00074,Silver,South
CUST-00075,None,East
CUST-00076,Silver,West
CUST-00077,Silver,North
CUST-00078,Silver,East
CUST-00079,Gold,North
CUST-00080,None,South
CUST-00081,Silver,West
CUST-00082,None,West
CUST-00083,Silver,East
CUST-00084,None,North
CUST-00085,Silver,East
CUST-00086,None,West
CUST-00087,Silver,North
CUST-00088,None,South
CUST-00089,None,South
CUST-00090,None,West
CUST-00091,Silver,West
CUST-00092,None,East
CUST-00093,None,South
CUST-00094,None,West
CUST-00095,None,North
CUST-00096,Silver,North
CUST-00097,Silver,West
CUST-00098,None,East
CUST-00099,Silver,North
CUST-00100,Silver,East
CUST-00101,None,East
CUST-00102,None,West
CUST-00103,None,North
CUST-00104,Gold,South
CUST-00105,None,East
CUST-00106,Silver,South
CUST-00107,None,East
CUST-00108,None,West
CUST-00109,None,South
CUST-00110,None,South
CUST-00111,None,South
CUST-00112,None,North
CUST-00113,Gold,North
CUST-00114,Silver,East
CUST-00115,Silver,South
CUST-00116,None,West
CUST-00117,None,East
CUST-00118,Silver,South
CUST-00119,Silver,South
CUST-00120,Silver,North
CUST-00121,Silver,West
CUST-00122,None,North
CUST-00123,Silver,East
CUST-00124,None,East
CUST-00125,None,South
CUST-00126,Silver,West
CUST-00127,Silver,East
CUST-00128,Silver,East
CUST-00129,None,North
CUST-00130,None,East
CUST-00131,None,West
CUST-00132,Gold,South
