WEEK,REGION,AVG_TEMPERATURE_C,TEMP_ANOMALY_C,RAINFALL_MM,RAINFALL_ANOMALY_MM,HUMIDITY_PCT,HEAT_INDEX,EXTREME_WEATHER_FLAG,DERIVED_REGIME
1,North,15.3,0.78,29.7,22.8,83.3,17.8,0,NORMAL
1,South,28.2,-0.28,18.0,-8.7,67.4,37.3,0,NORMAL
1,East,18.7,-2.07,2.7,-8.4,64.8,21.0,0,NORMAL
1,West,27.9,0.38,0.0,-9.4,58.6,34.8,0,NORMAL
1,Central,14.7,-1.38,10.3,5.6,39.1,12.8,0,NORMAL
1,Northeast,22.4,-0.35,5.8,-8.0,61.8,26.3,0,NORMAL
2,North,13.5,-1.52,30.2,16.4,78.5,14.7,0,NORMAL
2,South,30.5,1.43,40.3,11.1,72.1,42.9,0,NORMAL
2,East,19.1,-1.21,0.0,-23.7,63.0,21.4,0,NORMAL
2,West,27.1,-0.65,9.1,4.9,57.0,33.1,0,NORMAL
2,Central,15.0,0.7,21.2,13.3,58.1,15.0,0,NORMAL
2,Northeast,21.2,0.91,17.2,5.0,64.7,24.8,0,NORMAL
3,North,14.1,-1.33,0.0,-17.9,68.7,14.7,0,NORMAL
3,South,32.7,1.63,31.4,14.6,64.2,45.3,0,NORMAL
3,East,19.1,-3.14,32.7,12.3,67.7,21.9,0,NORMAL
3,West,27.2,-0.36,0.0,-8.0,59.1,33.7,0,NORMAL
3,Central,16.1,-0.97,0.0,-7.5,44.3,15.1,0,NORMAL
3,Northeast,23.6,0.39,29.3,20.6,73.9,30.2,0,NORMAL
4,North,15.6,-0.31,8.1,-5.5,75.2,17.5,0,NORMAL
4,South,30.9,-0.35,0.0,-21.2,66.4,42.2,0,NORMAL
4,East,20.7,0.26,0.0,-30.3,71.3,24.9,0,NORMAL
4,West,31.6,1.68,0.0,-28.8,53.7,40.3,0,NORMAL
4,Central,14.3,-0.79,0.4,0.1,53.6,13.6,0,NORMAL
4,Northeast,20.6,-0.31,25.0,17.1,69.6,24.5,0,NORMAL
5,North,18.0,1.68,0.0,-21.0,81.3,21.8,0,NORMAL
5,South,32.3,2.63,51.5,25.6,67.4,45.4,0,NORMAL
5,East,18.8,-1.27,22.3,7.1,60.6,20.6,0,NORMAL
5,West,31.6,1.86,0.0,-5.4,56.8,41.1,0,NORMAL
5,Central,14.7,-1.93,9.3,2.8,51.9,14.0,0,NORMAL
5,Northeast,22.3,0.94,21.3,9.3,74.5,28.0,0,NORMAL
6,North,17.0,0.27,15.8,12.7,68.8,18.9,0,NORMAL
6,South,29.9,-1.46,6.7,-14.6,65.7,40.1,0,NORMAL
6,East,21.8,0.51,34.0,14.1,67.1,26.1,0,NORMAL
6,West,28.0,0.18,2.8,-1.2,54.7,34.2,0,NORMAL
6,Central,20.8,3.28,6.4,1.4,51.7,22.4,0,NORMAL
6,Northeast,22.8,-0.04,0.0,-16.1,61.8,26.9,0,NORMAL
7,North,16.8,-0.27,24.9,10.7,85.5,20.4,0,NORMAL
7,South,32.2,-0.09,42.0,15.7,63.4,44.1,0,NORMAL
7,East,21.5,0.21,14.2,5.8,65.7,25.4,0,NORMAL
7,West,28.8,0.18,30.8,15.9,52.3,35.0,0,NORMAL
7,Central,27.4,-1.65,1.4,-14.1,47.1,31.6,0,NORMAL
7,Northeast,24.1,0.62,44.9,21.6,67.7,30.0,0,NORMAL
8,North,17.6,0.28,13.0,2.6,75.6,20.6,0,NORMAL
8,South,28.6,-1.8,54.2,34.7,54.9,35.2,0,NORMAL
8,East,20.1,-1.07,11.8,-5.0,65.1,23.1,0,NORMAL
8,West,27.4,0.15,10.0,0.7,49.3,32.0,0,NORMAL
8,Central,28.4,0.02,21.2,6.6,49.0,33.6,0,NORMAL
8,Northeast,20.3,-0.75,21.4,7.6,63.8,23.3,0,NORMAL
9,North,26.4,0.38,0.0,-24.2,51.0,30.8,0,NORMAL
9,South,32.6,1.52,60.7,31.8,74.2,47.9,0,NORMAL
9,East,21.4,-0.28,38.1,28.1,65.3,25.2,0,NORMAL
9,West,27.0,-1.12,27.1,24.5,52.2,32.0,0,NORMAL
9,Central,28.8,0.07,40.9,35.2,41.8,32.6,0,NORMAL
9,Northeast,21.7,1.09,7.4,1.0,68.5,26.1,0,NORMAL
10,North,28.0,-0.74,48.2,31.7,54.8,34.2,0,NORMAL
10,South,31.6,0.09,33.2,4.2,71.7,45.1,0,NORMAL
10,East,19.5,-0.75,6.1,-5.3,75.5,23.5,0,NORMAL
10,West,31.3,1.74,0.0,-12.4,60.4,41.5,0,NORMAL
10,Central,27.0,-2.15,0.0,-18.3,47.8,31.1,0,NORMAL
10,Northeast,25.1,1.39,34.6,12.4,68.9,31.9,0,NORMAL
11,North,23.9,-0.63,37.3,14.2,54.4,27.4,0,NORMAL
11,South,31.8,1.02,32.5,4.9,61.0,42.6,0,NORMAL
11,East,21.7,-2.15,9.8,-6.7,73.1,26.8,0,NORMAL
11,West,27.7,-1.44,11.7,-0.2,59.2,34.6,0,NORMAL
11,Central,26.3,-0.37,25.3,12.1,43.5,29.2,0,NORMAL
11,Northeast,22.0,1.63,0.0,-7.1,71.2,27.0,0,NORMAL
12,North,25.8,1.39,17.5,-7.2,50.5,29.7,0,NORMAL
12,South,32.8,1.63,37.3,12.9,67.9,46.6,0,NORMAL
12,East,19.6,-0.82,14.2,-0.7,64.0,22.2,0,NORMAL
12,West,29.5,0.93,24.8,10.4,54.4,36.7,0,NORMAL
12,Central,27.4,0.08,34.2,14.8,36.6,29.4,0,NORMAL
12,Northeast,22.2,0.07,49.9,32.3,68.1,26.9,0,NORMAL
13,North,26.8,-0.13,37.6,14.6,41.6,29.5,0,NORMAL
13,South,32.5,0.94,5.2,-11.4,65.8,45.3,0,NORMAL
13,East,21.6,-2.3,30.1,5.4,72.2,26.5,0,NORMAL
