fiscal_period_id,fiscal_year_id,period_number,period_name,calendar_year,calendar_month
FY2025_26_P01,FY2025_26,1,P01,2025,4
FY2025_26_P02,FY2025_26,2,P02,2025,5
FY2025_26_P03,FY2025_26,3,P03,2025,6
FY2025_26_P04,FY2025_26,4,P04,2025,7
FY2025_26_P05,FY2025_26,5,P05,2025,8
FY2025_26_P06,FY2025_26,6,P06,2025,9
FY2025_26_P07,FY2025_26,7,P07,2025,10
FY2025_26_P08,FY2025_26,8,P08,2025,11
FY2025_26_P09,FY2025_26,9,P09,2025,12
FY2025_26_P10,FY2025_26,10,P10,2026,1
FY2025_26_P11,FY2025_26,11,P11,2026,2
FY2025_26_P12,FY2025_26,12,P12,2026,3
FY2026_27_P01,FY2026_27,1,P01,2026,4
FY2026_27_P02,FY2026_27,2,P02,2026,5
FY2026_27_P03,FY2026_27,3,P03,2026,6
FY2026_27_P04,FY2026_27,4,P04,2026,7
FY2026_27_P05,FY2026_27,5,P05,2026,8
FY2026_27_P06,FY2026_27,6,P06,2026,9
FY2026_27_P07,FY2026_27,7,P07,2026,10
FY2026_27_P08,FY2026_27,8,P08,2026,11
FY2026_27_P09,FY2026_27,9,P09,2026,12
FY2026_27_P10,FY2026_27,10,P10,2027,1
FY2026_27_P11,FY2026_27,11,P11,2027,2
FY2026_27_P12,FY2026_27,12,P12,2027,3
FY2027_28_P01,FY2027_28,1,P01,2027,4
FY2027_28_P02,FY2027_28,2,P02,2027,5
FY2027_28_P03,FY2027_28,3,P03,2027,6
FY2027_28_P04,FY2027_28,4,P04,2027,7
FY2027_28_P05,FY2027_28,5,P05,2027,8
FY2027_28_P06,FY2027_28,6,P06,2027,9
FY2027_28_P07,FY2027_28,7,P07,2027,10
FY2027_28_P08,FY2027_28,8,P08,2027,11
FY2027_28_P09,FY2027_28,9,P09,2027,12
FY2027_28_P10,FY2027_28,10,P10,2028,1
FY2027_28_P11,FY2027_28,11,P11,2028,2
FY2027_28_P12,FY2027_28,12,P12,2028,3
