party_id,party_code,party_type,legal_name,status
PTY-ENT-001,PTY-ENT-001,ORGANIZATION,SCOF Enterprise Corp,ACTIVE
PTY-RET-001,PTY-RET-001,ORGANIZATION,SCOF Retail Operations Ltd,ACTIVE
PTY-LOG-001,PTY-LOG-001,ORGANIZATION,SCOF Logistics & Supply Ltd,ACTIVE
PTY-SUP-001,PTY-SUP-001,ORGANIZATION,Enterprise Supplier 001 Ltd,ACTIVE
PTY-SUP-002,PTY-SUP-002,ORGANIZATION,Enterprise Supplier 002 Ltd,ACTIVE
PTY-SUP-003,PTY-SUP-003,ORGANIZATION,Enterprise Supplier 003 Ltd,ACTIVE
PTY-SUP-004,PTY-SUP-004,ORGANIZATION,Enterprise Supplier 004 Ltd,ACTIVE
PTY-SUP-005,PTY-SUP-005,ORGANIZATION,Enterprise Supplier 005 Ltd,ACTIVE
PTY-SUP-006,PTY-SUP-006,ORGANIZATION,Enterprise Supplier 006 Ltd,ACTIVE
PTY-SUP-007,PTY-SUP-007,ORGANIZATION,Enterprise Supplier 007 Ltd,ACTIVE
PTY-SUP-008,PTY-SUP-008,ORGANIZATION,Enterprise Supplier 008 Ltd,ACTIVE
PTY-SUP-009,PTY-SUP-009,ORGANIZATION,Enterprise Supplier 009 Ltd,ACTIVE
PTY-SUP-010,PTY-SUP-010,ORGANIZATION,Enterprise Supplier 010 Ltd,ACTIVE
PTY-SUP-011,PTY-SUP-011,ORGANIZATION,Enterprise Supplier 011 Ltd,ACTIVE
PTY-SUP-012,PTY-SUP-012,ORGANIZATION,Enterprise Supplier 012 Ltd,ACTIVE
PTY-SUP-013,PTY-SUP-013,ORGANIZATION,Enterprise Supplier 013 Ltd,ACTIVE
PTY-SUP-014,PTY-SUP-014,ORGANIZATION,Enterprise Supplier 014 Ltd,ACTIVE
PTY-SUP-015,PTY-SUP-015,ORGANIZATION,Enterprise Supplier 015 Ltd,ACTIVE
PTY-SUP-016,PTY-SUP-016,ORGANIZATION,Enterprise Supplier 016 Ltd,ACTIVE
PTY-SUP-017,PTY-SUP-017,ORGANIZATION,Enterprise Supplier 017 Ltd,ACTIVE
PTY-SUP-018,PTY-SUP-018,ORGANIZATION,Enterprise Supplier 018 Ltd,ACTIVE
PTY-SUP-019,PTY-SUP-019,ORGANIZATION,Enterprise Supplier 019 Ltd,ACTIVE
PTY-SUP-020,PTY-SUP-020,ORGANIZATION,Enterprise Supplier 020 Ltd,ACTIVE
PTY-SUP-021,PTY-SUP-021,ORGANIZATION,Enterprise Supplier 021 Ltd,ACTIVE
PTY-SUP-022,PTY-SUP-022,ORGANIZATION,Enterprise Supplier 022 Ltd,ACTIVE
PTY-SUP-023,PTY-SUP-023,ORGANIZATION,Enterprise Supplier 023 Ltd,ACTIVE
