week_id,year_id,start_date,end_date,week_number,retail_quarter
202501,2025,2025-01-01,2025-01-05,1,1
202502,2025,2025-01-06,2025-01-12,2,1
202503,2025,2025-01-13,2025-01-19,3,1
202504,2025,2025-01-20,2025-01-26,4,1
202505,2025,2025-01-27,2025-02-02,5,1
202506,2025,2025-02-03,2025-02-09,6,1
202507,2025,2025-02-10,2025-02-16,7,1
202508,2025,2025-02-17,2025-02-23,8,1
202509,2025,2025-02-24,2025-03-02,9,1
202510,2025,2025-03-03,2025-03-09,10,1
202511,2025,2025-03-10,2025-03-16,11,1
202512,2025,2025-03-17,2025-03-23,12,1
202513,2025,2025-03-24,2025-03-30,13,1
202514,2025,2025-03-31,2025-04-06,14,2
202515,2025,2025-04-07,2025-04-13,15,2
202516,2025,2025-04-14,2025-04-20,16,2
202517,2025,2025-04-21,2025-04-27,17,2
202518,2025,2025-04-28,2025-05-04,18,2
202519,2025,2025-05-05,2025-05-11,19,2
202520,2025,2025-05-12,2025-05-18,20,2
202521,2025,2025-05-19,2025-05-25,21,2
202522,2025,2025-05-26,2025-06-01,22,2
202523,2025,2025-06-02,2025-06-08,23,2
202524,2025,2025-06-09,2025-06-15,24,2
202525,2025,2025-06-16,2025-06-22,25,2
202526,2025,2025-06-23,2025-06-29,26,2
202527,2025,2025-06-30,2025-07-06,27,3
202528,2025,2025-07-07,2025-07-13,28,3
202529,2025,2025-07-14,2025-07-20,29,3
202530,2025,2025-07-21,2025-07-27,30,3
202531,2025,2025-07-28,2025-08-03,31,3
202532,2025,2025-08-04,2025-08-10,32,3
202533,2025,2025-08-11,2025-08-17,33,3
202534,2025,2025-08-18,2025-08-24,34,3
202535,2025,2025-08-25,2025-08-31,35,3
202536,2025,2025-09-01,2025-09-07,36,3
202537,2025,2025-09-08,2025-09-14,37,3
202538,2025,2025-09-15,2025-09-21,38,3
202539,2025,2025-09-22,2025-09-28,39,3
202540,2025,2025-09-29,2025-10-05,40,4
202541,2025,2025-10-06,2025-10-12,41,4
202542,2025,2025-10-13,2025-10-19,42,4
202543,2025,2025-10-20,2025-10-26,43,4
202544,2025,2025-10-27,2025-11-02,44,4
202545,2025,2025-11-03,2025-11-09,45,4
202546,2025,2025-11-10,2025-11-16,46,4
202547,2025,2025-11-17,2025-11-23,47,4
202548,2025,2025-11-24,2025-11-30,48,4
202549,2025,2025-12-01,2025-12-07,49,4
202550,2025,2025-12-08,2025-12-14,50,4
202551,2025,2025-12-15,2025-12-21,51,4
202552,2025,2025-12-22,2025-12-28,52,4
