SKU,Location_ID,Quantity_On_Hand,Reorder_Point,Target_Safety_Stock,Shrinkage_Rate,As_Of_Date
APP-CHI-00001,wh-001,206,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00001,str-001,18,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00002,wh-001,389,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00002,str-001,26,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00003,wh-001,278,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00003,str-001,35,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00004,wh-001,372,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00004,str-001,32,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00005,wh-001,163,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00005,str-001,39,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00006,wh-001,406,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00006,str-001,5,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00007,wh-001,103,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00007,str-001,4,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00008,wh-001,128,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00008,str-001,39,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00009,wh-001,284,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00009,str-001,48,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00010,wh-001,476,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00010,str-001,13,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00011,wh-001,15,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00011,str-001,40,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00012,wh-001,60,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00012,str-001,1,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00013,wh-001,333,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00013,str-001,36,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00014,wh-001,85,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00014,str-001,30,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00015,wh-001,432,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00015,str-001,46,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00016,wh-001,74,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00016,str-001,2,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00017,wh-001,464,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00017,str-001,19,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00018,wh-001,24,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00018,str-001,37,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00019,wh-001,143,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00019,str-001,18,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00020,wh-001,6,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00020,str-001,31,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00021,wh-001,374,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00021,str-001,47,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00022,wh-001,470,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00022,str-001,21,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00023,wh-001,441,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00023,str-001,34,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00024,wh-001,395,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00024,str-001,19,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00025,wh-001,289,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00025,str-001,20,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00026,wh-001,41,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00026,str-001,11,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00027,wh-001,124,150,75,0.01,2026-09-14 20:18:25
APP-CHI-00027,str-001,23,15,7,0.015,2026-09-14 20:18:25
APP-CHI-00028,wh-001,350,150,75,0.01,2026-09-14 20:18:25
