Location_ID,Type,Capacity_Units,Safety_Stock_Policy
wh-001,DC,500000,dynamic
wh-002,DC,600000,dynamic
wh-003,DC,550000,dynamic
wh-004,DC,400000,dynamic
wh-005,DC,350000,dynamic
str-001,Store,250000,static
str-002,Store,300000,static
str-003,Store,150000,static
str-004,Store,30000,static
str-005,Store,200000,static
str-006,Store,120000,static
str-007,Store,90000,static
str-008,Store,25000,static
str-009,Store,80000,static
str-010,Store,85000,static
str-011,Store,30000,static
str-012,Store,75000,static
str-013,Store,70000,static
str-014,Store,25000,static
str-015,Store,80000,static
str-016,Store,35000,static
