FAMILY_ID,SUBCATEGORY_ID,FAMILY_NAME
FAM-00001,SUBCAT-0001,T-shirts
FAM-00002,SUBCAT-0001,Shirts
FAM-00003,SUBCAT-0001,Pants
FAM-00004,SUBCAT-0001,Jeans
FAM-00005,SUBCAT-0001,Shorts
FAM-00006,SUBCAT-0001,Jackets
FAM-00007,SUBCAT-0001,Schoolwear
FAM-00008,SUBCAT-0001,Ethnic wear
FAM-00009,SUBCAT-0002,Dresses
FAM-00010,SUBCAT-0002,Tops
FAM-00011,SUBCAT-0002,Skirts
FAM-00012,SUBCAT-0002,Leggings
FAM-00013,SUBCAT-0002,Jeans
FAM-00014,SUBCAT-0002,Jackets
FAM-00015,SUBCAT-0002,Ethnic wear
FAM-00016,SUBCAT-0003,Bodysuits
FAM-00017,SUBCAT-0003,Rompers
FAM-00018,SUBCAT-0003,Sleepwear
FAM-00019,SUBCAT-0003,Winterwear
FAM-00020,SUBCAT-0004,School uniforms
FAM-00021,SUBCAT-0004,Character clothing
FAM-00022,SUBCAT-0004,Costume wear
FAM-00023,SUBCAT-0004,Swimwear
FAM-00024,SUBCAT-0005,T-shirts
FAM-00025,SUBCAT-0005,Shirts
FAM-00026,SUBCAT-0005,Polo shirts
FAM-00027,SUBCAT-0005,Sweatshirts
FAM-00028,SUBCAT-0005,Hoodies
FAM-00029,SUBCAT-0005,Sweaters
FAM-00030,SUBCAT-0005,Jackets
FAM-00031,SUBCAT-0005,Coats
FAM-00032,SUBCAT-0005,Blazers
FAM-00033,SUBCAT-0005,Suits
FAM-00034,SUBCAT-0005,Ethnic wear
FAM-00035,SUBCAT-0006,Jeans
FAM-00036,SUBCAT-0006,Trousers
FAM-00037,SUBCAT-0006,Chinos
FAM-00038,SUBCAT-0006,Shorts
FAM-00039,SUBCAT-0006,Track pants
FAM-00040,SUBCAT-0006,Formal pants
FAM-00041,SUBCAT-0006,Traditional bottoms
FAM-00042,SUBCAT-0007,Briefs
FAM-00043,SUBCAT-0007,Boxers
FAM-00044,SUBCAT-0007,Undershirts
FAM-00045,SUBCAT-0007,Thermal wear
FAM-00046,SUBCAT-0008,Night suits
FAM-00047,SUBCAT-0008,Pajamas
FAM-00048,SUBCAT-0008,Robes
FAM-00049,SUBCAT-0009,Kurta
FAM-00050,SUBCAT-0009,Sherwani
FAM-00051,SUBCAT-0009,Dhoti
FAM-00052,SUBCAT-0009,Veshti
FAM-00053,SUBCAT-0009,Ethnic sets
FAM-00054,SUBCAT-0010,T-shirts
FAM-00055,SUBCAT-0010,Shirts
FAM-00056,SUBCAT-0010,Tops
FAM-00057,SUBCAT-0010,Blouses
FAM-00058,SUBCAT-0010,Dresses
FAM-00059,SUBCAT-0010,Skirts
FAM-00060,SUBCAT-0010,Jeans
FAM-00061,SUBCAT-0010,Trousers
FAM-00062,SUBCAT-0010,Leggings
FAM-00063,SUBCAT-0010,Shorts
FAM-00064,SUBCAT-0010,Jumpsuits
FAM-00065,SUBCAT-0010,Jackets
FAM-00066,SUBCAT-0010,Coats
FAM-00067,SUBCAT-0010,Blazers
FAM-00068,SUBCAT-0011,Sarees
FAM-00069,SUBCAT-0011,Salwar suits
FAM-00070,SUBCAT-0011,Kurtis
FAM-00071,SUBCAT-0011,Lehengas
FAM-00072,SUBCAT-0011,Anarkalis
FAM-00073,SUBCAT-0011,Churidars
FAM-00074,SUBCAT-0011,Dupattas
FAM-00075,SUBCAT-0011,Blouses
FAM-00076,SUBCAT-0012,Bras
FAM-00077,SUBCAT-0012,Briefs
FAM-00078,SUBCAT-0012,Shapewear
FAM-00079,SUBCAT-0012,Camisoles
FAM-00080,SUBCAT-0012,Thermals
FAM-00081,SUBCAT-0013,Night suits
FAM-00082,SUBCAT-0013,Pajamas
FAM-00083,SUBCAT-0013,Robes
FAM-00084,SUBCAT-0014,Sports bras
FAM-00085,SUBCAT-0014,Yoga wear
FAM-00086,SUBCAT-0014,Gym wear
FAM-00087,SUBCAT-0014,Running wear
FAM-00088,SUBCAT-0015,Paintings
FAM-00089,SUBCAT-0015,Prints
FAM-00090,SUBCAT-0015,Sculptures
FAM-00091,SUBCAT-0015,Wall art
FAM-00092,SUBCAT-0015,Handicrafts
