PRODUCT_ID,FAMILY_ID,PRODUCT_NAME,BRAND_ID,MANUFACTURER_ID,PRODUCT_TYPE
PRD-00001,FAM-00001,T-shirts - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00002,FAM-00001,T-shirts - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00003,FAM-00001,T-shirts - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00004,FAM-00001,T-shirts - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00005,FAM-00002,Shirts - Slim Fit,FashionCo,Manufacturer Direct,Slim Fit
PRD-00006,FAM-00002,Shirts - Slim Fit,StyleBrand,Manufacturer Direct,Slim Fit
PRD-00007,FAM-00002,Shirts - Regular Fit,FashionCo,Manufacturer Direct,Regular Fit
PRD-00008,FAM-00002,Shirts - Regular Fit,StyleBrand,Manufacturer Direct,Regular Fit
PRD-00009,FAM-00003,Pants - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00010,FAM-00003,Pants - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00011,FAM-00003,Pants - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00012,FAM-00003,Pants - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00013,FAM-00004,Jeans - Skinny,DenimBrand,Manufacturer Direct,Skinny
PRD-00014,FAM-00004,Jeans - Skinny,UrbanJeans,Manufacturer Direct,Skinny
PRD-00015,FAM-00004,Jeans - Straight,DenimBrand,Manufacturer Direct,Straight
PRD-00016,FAM-00004,Jeans - Straight,UrbanJeans,Manufacturer Direct,Straight
PRD-00017,FAM-00005,Shorts - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00018,FAM-00005,Shorts - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00019,FAM-00005,Shorts - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00020,FAM-00005,Shorts - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00021,FAM-00006,Jackets - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00022,FAM-00006,Jackets - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00023,FAM-00006,Jackets - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00024,FAM-00006,Jackets - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00025,FAM-00007,Schoolwear - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00026,FAM-00007,Schoolwear - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00027,FAM-00007,Schoolwear - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00028,FAM-00007,Schoolwear - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00029,FAM-00008,Ethnic wear - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00030,FAM-00008,Ethnic wear - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00031,FAM-00008,Ethnic wear - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00032,FAM-00008,Ethnic wear - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00033,FAM-00009,Dresses - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00034,FAM-00009,Dresses - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00035,FAM-00009,Dresses - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00036,FAM-00009,Dresses - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00037,FAM-00010,Tops - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00038,FAM-00010,Tops - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00039,FAM-00010,Tops - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00040,FAM-00010,Tops - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00041,FAM-00011,Skirts - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00042,FAM-00011,Skirts - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00043,FAM-00011,Skirts - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00044,FAM-00011,Skirts - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00045,FAM-00012,Leggings - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00046,FAM-00012,Leggings - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00047,FAM-00012,Leggings - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00048,FAM-00012,Leggings - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00049,FAM-00013,Jeans - Skinny,DenimBrand,Manufacturer Direct,Skinny
PRD-00050,FAM-00013,Jeans - Skinny,UrbanJeans,Manufacturer Direct,Skinny
PRD-00051,FAM-00013,Jeans - Straight,DenimBrand,Manufacturer Direct,Straight
PRD-00052,FAM-00013,Jeans - Straight,UrbanJeans,Manufacturer Direct,Straight
PRD-00053,FAM-00014,Jackets - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00054,FAM-00014,Jackets - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00055,FAM-00014,Jackets - Premium Style,Brand X,Manufacturer Direct,Premium Style
PRD-00056,FAM-00014,Jackets - Premium Style,Brand Y,Manufacturer Direct,Premium Style
PRD-00057,FAM-00015,Ethnic wear - Standard Fit,Brand X,Manufacturer Direct,Standard Fit
PRD-00058,FAM-00015,Ethnic wear - Standard Fit,Brand Y,Manufacturer Direct,Standard Fit
PRD-00059,FAM-00015,Ethnic wear - Premium Style,Brand X,Manufacturer Direct,Premium Style
