STORE_ID,WAREHOUSE_ID,ROUTE_PRIORITY,TRANSIT_TIME_DAYS
str-001,wh-001,PRIMARY,1
str-001,wh-005,SECONDARY,4
str-002,wh-002,PRIMARY,1
str-002,wh-005,SECONDARY,4
str-003,wh-003,PRIMARY,1
str-003,wh-005,SECONDARY,4
str-004,wh-003,PRIMARY,1
str-004,wh-005,SECONDARY,4
str-005,wh-004,PRIMARY,1
str-005,wh-005,SECONDARY,4
str-006,wh-003,PRIMARY,1
str-006,wh-005,SECONDARY,4
str-007,wh-002,PRIMARY,2
str-007,wh-005,SECONDARY,4
str-008,wh-002,PRIMARY,2
str-008,wh-005,SECONDARY,4
str-009,wh-001,PRIMARY,2
str-009,wh-005,SECONDARY,4
str-010,wh-001,PRIMARY,2
str-010,wh-005,SECONDARY,4
str-011,wh-001,PRIMARY,2
str-011,wh-005,SECONDARY,4
str-012,wh-003,PRIMARY,2
str-012,wh-005,SECONDARY,4
str-013,wh-005,PRIMARY,2
str-013,wh-001,SECONDARY,4
str-014,wh-005,PRIMARY,2
str-014,wh-001,SECONDARY,4
str-015,wh-004,PRIMARY,2
str-015,wh-005,SECONDARY,4
str-016,wh-004,PRIMARY,2
str-016,wh-005,SECONDARY,4
