SUBCATEGORY_ID,CATEGORY_ID,SUBCATEGORY_NAME
SUBCAT-0001,CAT-001,Boys
SUBCAT-0002,CAT-001,Girls
SUBCAT-0003,CAT-001,Infant
SUBCAT-0004,CAT-001,Specialty
SUBCAT-0005,CAT-002,Upper Body
SUBCAT-0006,CAT-002,Lower Body
SUBCAT-0007,CAT-002,Innerwear
SUBCAT-0008,CAT-002,Sleepwear
SUBCAT-0009,CAT-002,Traditional
SUBCAT-0010,CAT-003,General
SUBCAT-0011,CAT-003,Indian/Traditional
SUBCAT-0012,CAT-003,Innerwear
SUBCAT-0013,CAT-003,Sleepwear
SUBCAT-0014,CAT-003,Activewear
SUBCAT-0015,CAT-004,General
SUBCAT-0016,CAT-005,Consumables
SUBCAT-0017,CAT-005,Accessories
SUBCAT-0018,CAT-005,Maintenance
SUBCAT-0019,CAT-005,Emergency
SUBCAT-0020,CAT-005,Car Electronics
SUBCAT-0021,CAT-005,Motorcycles
SUBCAT-0022,CAT-006,Baby Feeding
SUBCAT-0023,CAT-006,Diapering
SUBCAT-0024,CAT-006,Baby Bathing
SUBCAT-0025,CAT-006,Baby Clothing
SUBCAT-0026,CAT-006,Baby Equipment
SUBCAT-0027,CAT-006,Maternity
SUBCAT-0028,CAT-007,General
SUBCAT-0029,CAT-008,Bakery
SUBCAT-0030,CAT-008,Biscuits & Cookies
SUBCAT-0031,CAT-008,Chocolate
SUBCAT-0032,CAT-008,Candy & Sweets
SUBCAT-0033,CAT-009,Makeup
SUBCAT-0034,CAT-009,Skincare
SUBCAT-0035,CAT-009,Nail Care
SUBCAT-0036,CAT-009,Fragrance
SUBCAT-0037,CAT-009,Beauty Tools
SUBCAT-0038,CAT-010,Water
SUBCAT-0039,CAT-010,Soft Drinks
SUBCAT-0040,CAT-010,Juices
SUBCAT-0041,CAT-010,Energy & Sports Drinks
SUBCAT-0042,CAT-010,Tea
SUBCAT-0043,CAT-010,Coffee
SUBCAT-0044,CAT-010,Drink Mixes
SUBCAT-0045,CAT-011,General
SUBCAT-0046,CAT-012,Fiction
SUBCAT-0047,CAT-012,Nonfiction
SUBCAT-0048,CAT-012,Children
SUBCAT-0049,CAT-012,Academic
SUBCAT-0050,CAT-013,General
SUBCAT-0051,CAT-014,Computers
SUBCAT-0052,CAT-014,Peripherals
SUBCAT-0053,CAT-014,Networking
SUBCAT-0054,CAT-014,Mobile
SUBCAT-0055,CAT-014,Mobile Accessories
SUBCAT-0056,CAT-015,General
SUBCAT-0057,CAT-015,Accessories
SUBCAT-0058,CAT-016,Dairy
SUBCAT-0059,CAT-016,Specialty Dairy
SUBCAT-0060,CAT-016,Refrigerated Foods
SUBCAT-0061,CAT-017,General
SUBCAT-0062,CAT-018,Lighting
SUBCAT-0063,CAT-018,Electrical
SUBCAT-0064,CAT-018,Backup Power
SUBCAT-0065,CAT-019,General
SUBCAT-0066,CAT-020,General
SUBCAT-0067,CAT-021,General
SUBCAT-0068,CAT-022,New Year
SUBCAT-0069,CAT-022,Valentine'S
SUBCAT-0070,CAT-022,Easter
SUBCAT-0071,CAT-022,Halloween
SUBCAT-0072,CAT-022,Christmas
SUBCAT-0073,CAT-022,Indian Festivals
SUBCAT-0074,CAT-022,Seasonal
SUBCAT-0075,CAT-023,General
SUBCAT-0076,CAT-024,General
SUBCAT-0077,CAT-025,Men
SUBCAT-0078,CAT-025,Women
SUBCAT-0079,CAT-025,Children
SUBCAT-0080,CAT-025,Specialty
SUBCAT-0081,CAT-025,Shoe Accessories
SUBCAT-0082,CAT-026,Fruits
SUBCAT-0083,CAT-026,Vegetables
SUBCAT-0084,CAT-026,Leafy Greens
SUBCAT-0085,CAT-026,Fresh Herbs
SUBCAT-0086,CAT-026,Organic / Premium Produce
SUBCAT-0087,CAT-027,General
SUBCAT-0088,CAT-028,Living Room
SUBCAT-0089,CAT-028,Bedroom
SUBCAT-0090,CAT-028,Dining
SUBCAT-0091,CAT-028,Office
SUBCAT-0092,CAT-028,Children'S
SUBCAT-0093,CAT-028,Outdoor
SUBCAT-0094,CAT-029,Board Games
SUBCAT-0095,CAT-029,Card Games
SUBCAT-0096,CAT-029,Puzzles
SUBCAT-0097,CAT-029,Electronic
SUBCAT-0098,CAT-030,Plants
SUBCAT-0099,CAT-030,Gardening Supplies
SUBCAT-0100,CAT-030,Outdoor Living
SUBCAT-0101,CAT-031,General
SUBCAT-0102,CAT-032,Grains & Cereals
SUBCAT-0103,CAT-032,Pulses & Legumes
SUBCAT-0104,CAT-032,Flours & Baking Ingredients
SUBCAT-0105,CAT-032,Oils & Fats
SUBCAT-0106,CAT-032,Spices
SUBCAT-0107,CAT-032,Salt & Sweeteners
SUBCAT-0108,CAT-032,Sauces & Condiments
SUBCAT-0109,CAT-033,Hand Tools
SUBCAT-0110,CAT-033,Power Tools
SUBCAT-0111,CAT-033,Fasteners
SUBCAT-0112,CAT-033,Adhesives
SUBCAT-0113,CAT-033,Safety
SUBCAT-0114,CAT-034,Otc Health
SUBCAT-0115,CAT-034,Medical Supplies
SUBCAT-0116,CAT-034,Wellness
SUBCAT-0117,CAT-035,Art
SUBCAT-0118,CAT-035,Craft
SUBCAT-0119,CAT-035,Diy
SUBCAT-0120,CAT-035,Collecting
SUBCAT-0121,CAT-036,Kitchen
SUBCAT-0122,CAT-036,Laundry
SUBCAT-0123,CAT-036,Climate
SUBCAT-0124,CAT-037,Textiles
SUBCAT-0125,CAT-037,Floor Coverings
SUBCAT-0126,CAT-037,Decor
SUBCAT-0127,CAT-037,Soft Furnishings
SUBCAT-0128,CAT-038,Laundry
SUBCAT-0129,CAT-038,Dishwashing
