SUPPLIER_ID,SKU_ID,SUPPLIER_SKU,PURCHASE_COST,MOQ_UNITS,LEAD_TIME_DAYS,ORDER_MULTIPLE,PRIMARY_FLAG,ACTIVE_FLAG
sup-010,APP-CHI-00001,VND-sup-010-APP-CHI-,59.63,100,29,10,1,1
sup-197,APP-CHI-00001,VND-sup-197-APP-CHI-,66.79,200,38,10,0,1
sup-010,APP-CHI-00002,VND-sup-010-APP-CHI-,49.61,25,29,10,1,1
sup-111,APP-CHI-00002,VND-sup-111-APP-CHI-,55.07,100,55,10,0,1
sup-029,APP-CHI-00003,VND-sup-029-APP-CHI-,74.45,100,29,10,1,1
sup-069,APP-CHI-00003,VND-sup-069-APP-CHI-,91.57,200,55,10,0,1
sup-046,APP-CHI-00004,VND-sup-046-APP-CHI-,32.73,25,29,10,1,1
sup-171,APP-CHI-00004,VND-sup-171-APP-CHI-,40.26,25,57,10,0,1
sup-021,APP-CHI-00005,VND-sup-021-APP-CHI-,63.29,100,29,10,1,1
sup-149,APP-CHI-00005,VND-sup-149-APP-CHI-,74.68,50,35,10,0,1
sup-131,APP-CHI-00006,VND-sup-131-APP-CHI-,16.33,100,29,10,1,1
sup-132,APP-CHI-00006,VND-sup-132-APP-CHI-,18.13,100,43,10,0,1
sup-001,APP-CHI-00007,VND-sup-001-APP-CHI-,27.7,100,29,10,1,1
sup-069,APP-CHI-00007,VND-sup-069-APP-CHI-,31.85,100,48,10,0,1
sup-021,APP-CHI-00008,VND-sup-021-APP-CHI-,57.1,200,29,10,1,1
sup-149,APP-CHI-00008,VND-sup-149-APP-CHI-,62.81,25,38,10,0,1
sup-038,APP-CHI-00009,VND-sup-038-APP-CHI-,44.63,200,29,10,1,1
sup-190,APP-CHI-00009,VND-sup-190-APP-CHI-,49.09,200,49,10,0,1
sup-046,APP-CHI-00010,VND-sup-046-APP-CHI-,24.6,200,29,10,1,1
sup-171,APP-CHI-00010,VND-sup-171-APP-CHI-,29.77,100,37,10,0,1
sup-163,APP-CHI-00011,VND-sup-163-APP-CHI-,62.88,50,29,10,1,1
sup-001,APP-CHI-00011,VND-sup-001-APP-CHI-,72.94,25,39,10,0,1
sup-030,APP-CHI-00012,VND-sup-030-APP-CHI-,70.59,50,29,10,1,1
sup-146,APP-CHI-00012,VND-sup-146-APP-CHI-,86.12,200,39,10,0,1
sup-042,APP-CHI-00013,VND-sup-042-APP-CHI-,78.01,200,29,10,1,1
