SKU_ID,PRODUCT_ID,SKU_NAME,BASE_UNIT_COST,BASE_RETAIL_PRICE,UNIT_OF_MEASURE,PACK_SIZE,SHELF_LIFE_DAYS,PERISHABILITY_TIER,DEMAND_VOLATILITY,SEASONALITY_PROFILE,WEATHER_SENSITIVITY,FESTIVAL_AFFINITY,PROMOTION_SENSITIVITY,PRICE_ELASTICITY,REGIONAL_AFFINITY
APP-CHI-00001,PRD-00001,Brand X T-shirts (S),59.63,92.43,Units,S,730,NON_PERISHABLE,0.308,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,SOUTH
APP-CHI-00002,PRD-00002,Brand Y T-shirts (S),49.61,76.9,Units,S,730,NON_PERISHABLE,0.117,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00003,PRD-00001,Brand X T-shirts (M),74.45,115.4,Units,M,730,NON_PERISHABLE,0.288,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00004,PRD-00002,Brand Y T-shirts (M),32.73,50.73,Units,M,730,NON_PERISHABLE,0.085,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,WEST
APP-CHI-00005,PRD-00001,Brand X T-shirts (L),63.29,98.1,Liters,L,730,NON_PERISHABLE,0.131,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00006,PRD-00002,Brand Y T-shirts (L),16.33,25.31,Liters,L,730,NON_PERISHABLE,0.153,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00007,PRD-00001,Brand X T-shirts (S),27.7,42.94,Units,S,730,NON_PERISHABLE,0.15,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,NORTH
APP-CHI-00008,PRD-00002,Brand Y T-shirts (S),57.1,88.51,Units,S,730,NON_PERISHABLE,0.15,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00009,PRD-00001,Brand X T-shirts (M),44.63,69.18,Units,M,730,NON_PERISHABLE,0.268,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
APP-CHI-00010,PRD-00002,Brand Y T-shirts (M),24.6,38.13,Units,M,730,NON_PERISHABLE,0.222,FESTIVAL_PEAK,MEDIUM,HIGH,HIGH,-1.8,PAN_INDIA
