asset_id,asset_name,asset_category,facility_id,operating_status
AST-0001,Physical Asset 0001,FLEET_VEHICLE,STR-002,OPERATIONAL
AST-0002,Physical Asset 0002,MATERIAL_HANDLING,STR-003,OPERATIONAL
AST-0003,Physical Asset 0003,MATERIAL_HANDLING,STR-004,OPERATIONAL
AST-0004,Physical Asset 0004,POS_TERMINAL,STR-005,OPERATIONAL
AST-0005,Physical Asset 0005,REFRIGERATION,STR-006,OPERATIONAL
AST-0006,Physical Asset 0006,POS_TERMINAL,STR-007,OPERATIONAL
AST-0007,Physical Asset 0007,POS_TERMINAL,STR-008,OPERATIONAL
AST-0008,Physical Asset 0008,FLEET_VEHICLE,STR-009,OPERATIONAL
AST-0009,Physical Asset 0009,POS_TERMINAL,STR-010,OPERATIONAL
AST-0010,Physical Asset 0010,REFRIGERATION,STR-011,OPERATIONAL
AST-0011,Physical Asset 0011,MATERIAL_HANDLING,STR-012,OPERATIONAL
AST-0012,Physical Asset 0012,REFRIGERATION,STR-013,OPERATIONAL
AST-0013,Physical Asset 0013,POS_TERMINAL,STR-014,OPERATIONAL
AST-0014,Physical Asset 0014,MATERIAL_HANDLING,STR-015,OPERATIONAL
AST-0015,Physical Asset 0015,MATERIAL_HANDLING,STR-016,OPERATIONAL
AST-0016,Physical Asset 0016,POS_TERMINAL,STR-001,OPERATIONAL
AST-0017,Physical Asset 0017,FLEET_VEHICLE,STR-002,OPERATIONAL
AST-0018,Physical Asset 0018,FLEET_VEHICLE,STR-003,OPERATIONAL
AST-0019,Physical Asset 0019,REFRIGERATION,STR-004,OPERATIONAL
AST-0020,Physical Asset 0020,POS_TERMINAL,STR-005,OPERATIONAL
AST-0021,Physical Asset 0021,MATERIAL_HANDLING,STR-006,OPERATIONAL
AST-0022,Physical Asset 0022,MATERIAL_HANDLING,STR-007,OPERATIONAL
AST-0023,Physical Asset 0023,REFRIGERATION,STR-008,OPERATIONAL
AST-0024,Physical Asset 0024,POS_TERMINAL,STR-009,OPERATIONAL
AST-0025,Physical Asset 0025,FLEET_VEHICLE,STR-010,OPERATIONAL
AST-0026,Physical Asset 0026,FLEET_VEHICLE,STR-011,OPERATIONAL
