lane_id,origin_facility_id,destination_facility_id,standard_transit_days,distance_km,is_active
LANE-001,WH-001,STR-001,2,161.64,True
LANE-002,WH-001,STR-002,1,323.44,True
LANE-003,WH-001,STR-003,2,185.75,True
LANE-004,WH-001,STR-004,3,160.91,True
LANE-005,WH-001,STR-005,2,254.44,True
LANE-006,WH-001,STR-006,3,258.78,True
LANE-007,WH-001,STR-007,3,26.32,True
LANE-008,WH-002,STR-001,1,76.32,True
LANE-009,WH-002,STR-002,2,298.58,True
LANE-010,WH-002,STR-003,1,256.18,True
LANE-011,WH-002,STR-004,1,205.31,True
LANE-012,WH-002,STR-005,2,157.22,True
LANE-013,WH-002,STR-006,3,159.81,True
LANE-014,WH-002,STR-007,3,44.91,True
LANE-015,WH-003,STR-001,1,45.32,True
LANE-016,WH-003,STR-002,1,159.09,True
LANE-017,WH-003,STR-003,1,138.41,True
LANE-018,WH-003,STR-004,3,244.48,True
LANE-019,WH-003,STR-005,2,37.08,True
LANE-020,WH-003,STR-006,3,278.99,True
LANE-021,WH-003,STR-007,1,252.82,True
LANE-022,WH-004,STR-001,2,124.08,True
LANE-023,WH-004,STR-002,3,131.35,True
LANE-024,WH-004,STR-003,2,179.66,True
LANE-025,WH-004,STR-004,2,276.73,True
LANE-026,WH-004,STR-005,1,125.57,True
LANE-027,WH-004,STR-006,3,116.55,True
LANE-028,WH-004,STR-007,2,272.47,True
LANE-029,WH-005,STR-001,2,274.99,True
LANE-030,WH-005,STR-002,2,265.27,True
LANE-031,WH-005,STR-003,1,336.23,True
LANE-032,WH-005,STR-004,2,220.46,True
LANE-033,WH-005,STR-005,2,231.27,True
LANE-034,WH-005,STR-006,3,260.31,True
LANE-035,WH-005,STR-007,1,201.05,True
