PO_Number,SKU,Supplier_ID,Location_ID,Order_Date,Expected_Arrival_Date,Actual_Arrival_Date,Quantity_Ordered,Quantity_Received,Status
PO-0000001,BEV-GEN-00360,sup-117,wh-001,2026-04-20,2026-05-03,2026-05-03,402,399,Delivered
PO-0000002,APP-CHI-00740,sup-116,str-001,2025-10-31,2025-11-29,2025-11-29,386,315,Delivered
PO-0000003,PAP-DIS-00234,sup-048,wh-001,2026-07-20,2026-08-25,2026-08-25,460,424,Delivered
PO-0000004,GAR-OUT-00002,sup-017,wh-001,2026-02-13,2026-03-10,2026-03-15,119,114,Delivered
PO-0000005,PRE-LUX-00272,sup-106,str-001,2025-09-27,2025-10-31,2025-10-31,264,263,Delivered
PO-0000006,GRO-FOO-01880,sup-126,str-001,2026-07-20,2026-08-04,2026-08-04,270,262,Delivered
PO-0000007,HOB-ART-00455,sup-173,wh-001,2026-07-09,2026-08-03,2026-08-03,366,286,Delivered
PO-0000008,PAI-DEC-00205,sup-027,wh-001,2026-06-16,2026-07-24,2026-07-24,236,197,Delivered
PO-0000009,BIC-PER-00178,sup-063,str-001,2025-09-19,2025-10-25,2025-10-25,457,365,Delivered
PO-0000010,PAR-CEL-00383,sup-089,str-001,2025-10-20,2025-11-18,2025-11-18,75,55,Delivered
PO-0000011,JEW-GEN-00331,sup-188,wh-001,2026-02-28,2026-03-23,2026-03-23,359,339,Delivered
PO-0000012,PLU-BUI-00342,sup-182,wh-001,2026-02-13,2026-03-22,2026-03-22,215,200,Delivered
PO-0000013,COL-SPE-00152,sup-039,wh-001,2026-03-20,2026-04-09,2026-04-09,383,337,Delivered
PO-0000014,HOB-ART-00664,sup-066,str-001,2026-01-22,2026-02-16,2026-03-02,471,367,Delivered
PO-0000015,HOM-APP-00611,sup-016,wh-001,2025-10-08,2025-12-24,2025-12-24,143,115,Delivered
PO-0000016,SPO-FIT-00926,sup-094,str-001,2026-02-03,2026-03-18,2026-03-18,446,419,Delivered
PO-0000017,BEV-GEN-00944,sup-123,wh-001,2025-12-10,2025-12-23,2025-12-23,71,61,Delivered
PO-0000018,ENT-EXP-00010,sup-125,wh-001,2026-06-30,2026-07-14,2026-07-14,352,346,Delivered
PO-0000019,BEV-GEN-00089,sup-004,wh-001,2026-03-27,2026-04-09,2026-04-09,274,199,Delivered
PO-0000020,APP-CHI-00489,sup-154,wh-001,2025-10-15,2025-11-13,2025-11-13,255,217,Delivered
PO-0000021,SMA-HOM-00050,sup-018,str-001,2026-02-18,2026-05-13,2026-05-13,392,340,Delivered
PO-0000022,AUT-GEN-00153,sup-153,wh-001,2025-09-22,2025-10-22,2025-10-22,249,198,Delivered
PO-0000023,SER-SOL-00263,sup-089,str-001,2026-05-31,2026-06-19,2026-06-21,460,57,Delivered
PO-0000024,PAR-CEL-00509,sup-035,wh-001,2025-10-04,2025-11-02,2025-11-02,132,95,Delivered
PO-0000025,TRA-PRO-00420,sup-039,wh-001,2026-05-22,2026-06-30,2026-06-30,151,135,Delivered
PO-0000026,FAS-ACC-00642,sup-197,wh-001,2025-11-01,2025-12-08,2025-12-08,413,350,Delivered
PO-0000027,FRO-REA-00130,sup-003,str-001,2025-12-19,2025-12-28,2026-01-02,236,212,Delivered
PO-0000028,ENT-EXP-00104,sup-024,str-001,2025-10-19,2025-11-02,2025-11-02,137,105,Delivered
PO-0000029,FOO-GEN-01357,sup-171,wh-001,2026-08-20,2026-09-27,,295,,In-Transit
PO-0000030,BIC-PER-00375,sup-153,wh-001,2025-09-19,2025-10-25,2025-10-25,373,318,Delivered
