carrier_profile_id,party_id,carrier_type,payment_term_id,status
CARR-PR-001,PTY-CARR-001,LINEHAUL,NET_30,ACTIVE
CARR-PR-002,PTY-CARR-002,LINEHAUL,NET_30,ACTIVE
CARR-PR-003,PTY-CARR-003,LINEHAUL,NET_30,ACTIVE
CARR-PR-004,PTY-CARR-004,LINEHAUL,NET_30,ACTIVE
CARR-PR-005,PTY-CARR-005,LINEHAUL,NET_30,ACTIVE
CARR-PR-006,PTY-CARR-006,LINEHAUL,NET_30,ACTIVE
CARR-PR-007,PTY-CARR-007,LINEHAUL,NET_30,ACTIVE
CARR-PR-008,PTY-CARR-008,LINEHAUL,NET_30,ACTIVE
CARR-PR-009,PTY-CARR-009,LINEHAUL,NET_30,ACTIVE
CARR-PR-010,PTY-CARR-010,LINEHAUL,NET_30,ACTIVE
CARR-PR-011,PTY-CARR-011,LAST_MILE,NET_30,ACTIVE
CARR-PR-012,PTY-CARR-012,LAST_MILE,NET_30,ACTIVE
CARR-PR-013,PTY-CARR-013,LAST_MILE,NET_30,ACTIVE
CARR-PR-014,PTY-CARR-014,LAST_MILE,NET_30,ACTIVE
CARR-PR-015,PTY-CARR-015,LAST_MILE,NET_30,ACTIVE
CARR-PR-016,PTY-CARR-016,LAST_MILE,NET_30,ACTIVE
CARR-PR-017,PTY-CARR-017,LAST_MILE,NET_30,ACTIVE
CARR-PR-018,PTY-CARR-018,LAST_MILE,NET_30,ACTIVE
CARR-PR-019,PTY-CARR-019,LAST_MILE,NET_30,ACTIVE
CARR-PR-020,PTY-CARR-020,LAST_MILE,NET_30,ACTIVE
CARR-PR-021,PTY-CARR-021,LAST_MILE,NET_30,ACTIVE
CARR-PR-022,PTY-CARR-022,LAST_MILE,NET_30,ACTIVE
CARR-PR-023,PTY-CARR-023,LAST_MILE,NET_30,ACTIVE
CARR-PR-024,PTY-CARR-024,LAST_MILE,NET_30,ACTIVE
CARR-PR-025,PTY-CARR-025,LAST_MILE,NET_30,ACTIVE
