contract_id,party_id,contract_type,start_date,end_date,payment_term_id,status
CONT-SUP-001,PTY-SUP-001,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-002,PTY-SUP-002,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-003,PTY-SUP-003,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-004,PTY-SUP-004,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-005,PTY-SUP-005,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-006,PTY-SUP-006,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-007,PTY-SUP-007,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-008,PTY-SUP-008,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-009,PTY-SUP-009,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-010,PTY-SUP-010,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-011,PTY-SUP-011,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-012,PTY-SUP-012,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-013,PTY-SUP-013,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-014,PTY-SUP-014,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-015,PTY-SUP-015,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-016,PTY-SUP-016,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-017,PTY-SUP-017,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-018,PTY-SUP-018,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-019,PTY-SUP-019,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-020,PTY-SUP-020,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-021,PTY-SUP-021,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-022,PTY-SUP-022,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-023,PTY-SUP-023,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-024,PTY-SUP-024,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-025,PTY-SUP-025,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-026,PTY-SUP-026,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-027,PTY-SUP-027,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-028,PTY-SUP-028,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
CONT-SUP-029,PTY-SUP-029,SUPPLIER_MASTER_AGREEMENT,2025-01-01,2027-12-31,NET_30,ACTIVE
