employee_profile_id,party_id,workforce_role_id,assigned_facility_id,status
EMP-PR-0001,PTY-EMP-0001,ROLE_STORE_MGR,STR-002,ACTIVE
EMP-PR-0002,PTY-EMP-0002,ROLE_STORE_MGR,STR-003,ACTIVE
EMP-PR-0003,PTY-EMP-0003,ROLE_STORE_MGR,STR-004,ACTIVE
EMP-PR-0004,PTY-EMP-0004,ROLE_STORE_MGR,STR-005,ACTIVE
EMP-PR-0005,PTY-EMP-0005,ROLE_STORE_MGR,STR-006,ACTIVE
EMP-PR-0006,PTY-EMP-0006,ROLE_STORE_MGR,STR-007,ACTIVE
EMP-PR-0007,PTY-EMP-0007,ROLE_STORE_MGR,STR-008,ACTIVE
EMP-PR-0008,PTY-EMP-0008,ROLE_STORE_MGR,STR-009,ACTIVE
EMP-PR-0009,PTY-EMP-0009,ROLE_STORE_MGR,STR-010,ACTIVE
EMP-PR-0010,PTY-EMP-0010,ROLE_STORE_MGR,STR-011,ACTIVE
EMP-PR-0011,PTY-EMP-0011,ROLE_STORE_MGR,STR-012,ACTIVE
EMP-PR-0012,PTY-EMP-0012,ROLE_STORE_MGR,STR-013,ACTIVE
EMP-PR-0013,PTY-EMP-0013,ROLE_STORE_MGR,STR-014,ACTIVE
EMP-PR-0014,PTY-EMP-0014,ROLE_STORE_MGR,STR-015,ACTIVE
EMP-PR-0015,PTY-EMP-0015,ROLE_STORE_MGR,STR-016,ACTIVE
EMP-PR-0016,PTY-EMP-0016,ROLE_STORE_MGR,STR-001,ACTIVE
EMP-PR-0017,PTY-EMP-0017,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0018,PTY-EMP-0018,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0019,PTY-EMP-0019,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0020,PTY-EMP-0020,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0021,PTY-EMP-0021,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0022,PTY-EMP-0022,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0023,PTY-EMP-0023,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0024,PTY-EMP-0024,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0025,PTY-EMP-0025,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0026,PTY-EMP-0026,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0027,PTY-EMP-0027,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0028,PTY-EMP-0028,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0029,PTY-EMP-0029,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0030,PTY-EMP-0030,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0031,PTY-EMP-0031,ROLE_OPERATOR,STR-016,ACTIVE
EMP-PR-0032,PTY-EMP-0032,ROLE_OPERATOR,STR-001,ACTIVE
EMP-PR-0033,PTY-EMP-0033,ROLE_OPERATOR,STR-002,ACTIVE
EMP-PR-0034,PTY-EMP-0034,ROLE_OPERATOR,STR-003,ACTIVE
EMP-PR-0035,PTY-EMP-0035,ROLE_OPERATOR,STR-004,ACTIVE
EMP-PR-0036,PTY-EMP-0036,ROLE_OPERATOR,STR-005,ACTIVE
EMP-PR-0037,PTY-EMP-0037,ROLE_OPERATOR,STR-006,ACTIVE
EMP-PR-0038,PTY-EMP-0038,ROLE_OPERATOR,STR-007,ACTIVE
EMP-PR-0039,PTY-EMP-0039,ROLE_OPERATOR,STR-008,ACTIVE
EMP-PR-0040,PTY-EMP-0040,ROLE_OPERATOR,STR-009,ACTIVE
EMP-PR-0041,PTY-EMP-0041,ROLE_OPERATOR,STR-010,ACTIVE
EMP-PR-0042,PTY-EMP-0042,ROLE_OPERATOR,STR-011,ACTIVE
EMP-PR-0043,PTY-EMP-0043,ROLE_OPERATOR,STR-012,ACTIVE
EMP-PR-0044,PTY-EMP-0044,ROLE_OPERATOR,STR-013,ACTIVE
EMP-PR-0045,PTY-EMP-0045,ROLE_OPERATOR,STR-014,ACTIVE
EMP-PR-0046,PTY-EMP-0046,ROLE_OPERATOR,STR-015,ACTIVE
EMP-PR-0047,PTY-EMP-0047,ROLE_OPERATOR,STR-016,ACTIVE
