supplier_profile_id,party_id,vendor_tier,payment_term_id,default_currency_id,incoterm_id,status
SUP-PR-001,PTY-SUP-001,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-002,PTY-SUP-002,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-003,PTY-SUP-003,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-004,PTY-SUP-004,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-005,PTY-SUP-005,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-006,PTY-SUP-006,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-007,PTY-SUP-007,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-008,PTY-SUP-008,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-009,PTY-SUP-009,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-010,PTY-SUP-010,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-011,PTY-SUP-011,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-012,PTY-SUP-012,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-013,PTY-SUP-013,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-014,PTY-SUP-014,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-015,PTY-SUP-015,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-016,PTY-SUP-016,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-017,PTY-SUP-017,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-018,PTY-SUP-018,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-019,PTY-SUP-019,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-020,PTY-SUP-020,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-021,PTY-SUP-021,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-022,PTY-SUP-022,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-023,PTY-SUP-023,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-024,PTY-SUP-024,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-025,PTY-SUP-025,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-026,PTY-SUP-026,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-027,PTY-SUP-027,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-028,PTY-SUP-028,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-029,PTY-SUP-029,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-030,PTY-SUP-030,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-031,PTY-SUP-031,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-032,PTY-SUP-032,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-033,PTY-SUP-033,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-034,PTY-SUP-034,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-035,PTY-SUP-035,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-036,PTY-SUP-036,TIER_1,NET_30,INR,FOB,ACTIVE
SUP-PR-037,PTY-SUP-037,TIER_1,NET_60,INR,CIF,ACTIVE
SUP-PR-038,PTY-SUP-038,TIER_1,NET_30,INR,FOB,ACTIVE
