SKU,Supplier_ID,Sourcing_Rank,Unit_Cost_Markup,Supplier_Lead_Time_Days
APP-CHI-00001,sup-010,Primary,1.0,29
APP-CHI-00001,sup-197,Secondary,1.12,38
APP-CHI-00002,sup-010,Primary,1.0,29
APP-CHI-00002,sup-111,Secondary,1.11,55
APP-CHI-00003,sup-029,Primary,1.0,29
APP-CHI-00003,sup-069,Secondary,1.23,55
APP-CHI-00004,sup-046,Primary,1.0,29
APP-CHI-00004,sup-171,Secondary,1.23,57
APP-CHI-00005,sup-021,Primary,1.0,29
APP-CHI-00005,sup-149,Secondary,1.18,35
APP-CHI-00006,sup-131,Primary,1.0,29
APP-CHI-00006,sup-132,Secondary,1.11,43
APP-CHI-00007,sup-001,Primary,1.0,29
APP-CHI-00007,sup-069,Secondary,1.15,48
APP-CHI-00008,sup-021,Primary,1.0,29
APP-CHI-00008,sup-149,Secondary,1.1,38
APP-CHI-00009,sup-038,Primary,1.0,29
APP-CHI-00009,sup-190,Secondary,1.1,49
APP-CHI-00010,sup-046,Primary,1.0,29
APP-CHI-00010,sup-171,Secondary,1.21,37
APP-CHI-00011,sup-163,Primary,1.0,29
APP-CHI-00011,sup-001,Secondary,1.16,39
APP-CHI-00012,sup-030,Primary,1.0,29
APP-CHI-00012,sup-146,Secondary,1.22,39
APP-CHI-00013,sup-042,Primary,1.0,29
APP-CHI-00013,sup-197,Secondary,1.1,35
APP-CHI-00014,sup-038,Primary,1.0,29
APP-CHI-00014,sup-046,Secondary,1.24,39
APP-CHI-00015,sup-052,Primary,1.0,29
APP-CHI-00015,sup-030,Secondary,1.06,43
APP-CHI-00016,sup-103,Primary,1.0,29
APP-CHI-00016,sup-154,Secondary,1.08,38
APP-CHI-00017,sup-116,Primary,1.0,29
APP-CHI-00017,sup-104,Secondary,1.14,39
APP-CHI-00018,sup-171,Primary,1.0,29
APP-CHI-00018,sup-010,Secondary,1.21,45
APP-CHI-00019,sup-187,Primary,1.0,29
APP-CHI-00019,sup-030,Secondary,1.16,44
APP-CHI-00020,sup-197,Primary,1.0,29
APP-CHI-00020,sup-059,Secondary,1.24,57
APP-CHI-00021,sup-052,Primary,1.0,29
APP-CHI-00021,sup-021,Secondary,1.06,46
APP-CHI-00022,sup-084,Primary,1.0,29
APP-CHI-00022,sup-163,Secondary,1.19,56
APP-CHI-00023,sup-149,Primary,1.0,29
APP-CHI-00023,sup-190,Secondary,1.08,37
APP-CHI-00024,sup-171,Primary,1.0,29
APP-CHI-00024,sup-001,Secondary,1.2,37
APP-CHI-00025,sup-029,Primary,1.0,29
APP-CHI-00025,sup-104,Secondary,1.17,53
APP-CHI-00026,sup-059,Primary,1.0,29
APP-CHI-00026,sup-154,Secondary,1.06,37
APP-CHI-00027,sup-177,Primary,1.0,29
APP-CHI-00027,sup-111,Secondary,1.17,40
APP-CHI-00028,sup-087,Primary,1.0,29
APP-CHI-00028,sup-163,Secondary,1.08,35
APP-CHI-00029,sup-116,Primary,1.0,29
APP-CHI-00029,sup-111,Secondary,1.12,56
APP-CHI-00030,sup-029,Primary,1.0,29
APP-CHI-00030,sup-046,Secondary,1.21,57
APP-CHI-00031,sup-069,Primary,1.0,29
APP-CHI-00031,sup-139,Secondary,1.18,56
APP-CHI-00032,sup-154,Primary,1.0,29
APP-CHI-00032,sup-160,Secondary,1.24,53
APP-CHI-00033,sup-069,Primary,1.0,29
APP-CHI-00033,sup-107,Secondary,1.17,43
APP-CHI-00034,sup-149,Primary,1.0,29
APP-CHI-00034,sup-042,Secondary,1.08,47
APP-CHI-00035,sup-163,Primary,1.0,29
APP-CHI-00035,sup-111,Secondary,1.2,38
APP-CHI-00036,sup-021,Primary,1.0,29
APP-CHI-00036,sup-059,Secondary,1.18,40
APP-CHI-00037,sup-084,Primary,1.0,29
APP-CHI-00037,sup-030,Secondary,1.14,47
APP-CHI-00038,sup-146,Primary,1.0,29
APP-CHI-00038,sup-154,Secondary,1.25,57
APP-CHI-00039,sup-059,Primary,1.0,29
APP-CHI-00039,sup-149,Secondary,1.21,56
APP-CHI-00040,sup-197,Primary,1.0,29
APP-CHI-00040,sup-139,Secondary,1.15,50
APP-CHI-00041,sup-139,Primary,1.0,29
APP-CHI-00041,sup-059,Secondary,1.11,53
APP-CHI-00042,sup-177,Primary,1.0,29
APP-CHI-00042,sup-010,Secondary,1.16,37
APP-CHI-00043,sup-029,Primary,1.0,29
APP-CHI-00043,sup-087,Secondary,1.14,38
APP-CHI-00044,sup-085,Primary,1.0,29
APP-CHI-00044,sup-038,Secondary,1.12,54
APP-CHI-00045,sup-154,Primary,1.0,29
APP-CHI-00045,sup-046,Secondary,1.21,41
APP-CHI-00046,sup-085,Primary,1.0,29
APP-CHI-00046,sup-132,Secondary,1.22,43
APP-CHI-00047,sup-111,Primary,1.0,29
APP-CHI-00047,sup-171,Secondary,1.11,50
APP-CHI-00048,sup-107,Primary,1.0,29
APP-CHI-00048,sup-163,Secondary,1.17,48
APP-CHI-00049,sup-042,Primary,1.0,29
APP-CHI-00049,sup-085,Secondary,1.18,41
APP-CHI-00050,sup-084,Primary,1.0,29
APP-CHI-00050,sup-087,Secondary,1.14,44
APP-CHI-00051,sup-001,Primary,1.0,29
APP-CHI-00051,sup-151,Secondary,1.12,57
APP-CHI-00052,sup-149,Primary,1.0,29
APP-CHI-00052,sup-104,Secondary,1.06,47
