Supplier_ID,Supplier_Name,Primary_Category,Delivery_Model,Origin_Country,On_Time_Delivery_Pct,Order_Fill_Rate_Pct,Defect_Rate_Pct,Max_Surge_Capacity_Pct,Surge_Lead_Time_Days
sup-001,Global Apparel Vendor 1,APPAREL,DC-Routed,Domestic,0.933,1.0,0.026,1.91,10
sup-002,Global Dry_Food Vendor 2,DRY_FOOD,DC-Routed,Domestic,0.72,0.732,0.046,1.2,8
sup-003,Global Dry_Food Vendor 3,DRY_FOOD,DC-Routed,Domestic,0.857,0.891,0.036,1.51,22
sup-004,Global Dry_Food Vendor 4,DRY_FOOD,DC-Routed,International_A,0.759,0.775,0.043,1.6,15
sup-005,Global Electronics Vendor 5,ELECTRONICS,DC-Routed,International_B,0.752,0.813,0.006,1.12,16
sup-006,Global Electronics Vendor 6,ELECTRONICS,DC-Routed,International_B,0.927,1.0,0.03,1.96,7
sup-007,Global Fresh_Food Vendor 7,FRESH_FOOD,DC-Routed,International_B,0.712,0.729,0.024,1.24,29
sup-008,Global Dry_Food Vendor 8,DRY_FOOD,DC-Routed,International_B,0.799,0.876,0.028,1.21,11
sup-009,Global Electronics Vendor 9,ELECTRONICS,DC-Routed,International_A,0.822,0.878,0.017,1.21,30
sup-010,Global Apparel Vendor 10,APPAREL,Direct-to-Store,Domestic,0.917,0.939,0.018,1.65,9
sup-011,Global Dry_Food Vendor 11,DRY_FOOD,DC-Routed,International_B,0.829,0.913,0.018,1.22,23
sup-012,Global Fresh_Food Vendor 12,FRESH_FOOD,DC-Routed,Domestic,0.706,0.767,0.024,1.12,18
sup-013,Global General Vendor 13,GENERAL,DC-Routed,International_A,0.932,0.965,0.009,1.51,30
sup-014,Global Electronics Vendor 14,ELECTRONICS,DC-Routed,International_A,0.855,0.913,0.018,1.45,19
sup-015,Global Fresh_Food Vendor 15,FRESH_FOOD,DC-Routed,International_A,0.885,0.927,0.028,1.99,18
sup-016,Global Electronics Vendor 16,ELECTRONICS,DC-Routed,Domestic,0.721,0.802,0.027,1.18,16
